"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "YAML", "XML", "Visual Basic", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\jsnap\source\repos\Basic4WebGL\.codesandbox\tasks.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 36
"c:\Users\jsnap\source\repos\Basic4WebGL\.codesandbox\template.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\jsnap\source\repos\Basic4WebGL\.devcontainer\devcontainer.json", "JSON with Comments", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jsnap\source\repos\Basic4WebGL\.prettierrc", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\jsnap\source\repos\Basic4WebGL\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\jsnap\source\repos\Basic4WebGL\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\jsnap\source\repos\Basic4WebGL\package-lock.json", "JSON", 0, 0, 5509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5510
"c:\Users\jsnap\source\repos\Basic4WebGL\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\jsnap\source\repos\Basic4WebGL\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 2204, 0, 0, 0, 0, 0, 322, 2526
"c:\Users\jsnap\source\repos\Basic4WebGL\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jsnap\source\repos\Basic4WebGL\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jsnap\source\repos\Basic4WebGL\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
